Year,Company Size,Industry,Experience,Title,Country,Salary (USD),City
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,60225.0,Hamilton–Niagara Peninsula
2023,10 to 19 employees,Oil & Gas,5 to 9 years,"Developer, full-stack",Canada,74351.0,Kitchener–Waterloo–Barrie
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,74351.0,Kitchener–Waterloo–Barrie
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,49072.0,Montreal
2023,"10,000 or more employees","Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, full-stack",Canada,89222.0,Calgary
2023,500 to 999 employees,Financial Services,5 to 9 years,"Developer, full-stack",Canada,55764.0,Montreal
2023,"1,000 to 4,999 employees",Healthcare,10 or more years,"Developer, front-end",Canada,81787.0,Toronto
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, desktop or enterprise applications",Canada,81787.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,70634.0,Winnipeg
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, back-end",Canada,48328.0,Winnipeg
2023,100 to 499 employees,Healthcare,2 to 4 years,"Developer, full-stack",Canada,49815.0,Halifax
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, mobile",Canada,87735.0,Toronto
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,78069.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,Oil & Gas,2 to 4 years,"Developer, full-stack",Canada,53533.0,Kitchener–Waterloo–Barrie
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,74351.0,Kingston–Pembroke
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, desktop or enterprise applications",Canada,28551.0,Montreal
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,74351.0,Kitchener–Waterloo–Barrie
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,60968.0,Winnipeg
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,81787.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,Legal Services,10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,81787.0,Toronto
2023,20 to 99 employees,Healthcare,10 or more years,"Developer, desktop or enterprise applications",Canada,104092.0,Hamilton–Niagara Peninsula
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,52046.0,Calgary
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,81787.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees","Manufacturing, Transportation, or Supply Chain",10 or more years,DevOps specialist,Canada,66916.0,Winnipeg
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,Cloud infrastructure engineer,Canada,85504.0,Edmonton
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,Security professional,Canada,56507.0,Winnipeg
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,54277.0,Kingston–Pembroke
2023,2 to 9 employees,Retail and Consumer Services,5 to 9 years,"Developer, full-stack",Canada,81787.0,Hamilton–Niagara Peninsula
2023,"5,000 to 9,999 employees",Retail and Consumer Services,10 or more years,"Developer, full-stack",Canada,68403.0,Halifax
2023,"1,000 to 4,999 employees","Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, full-stack",Canada,78069.0,Kingston–Pembroke
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,Scientist,Canada,55764.0,Winnipeg
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,System administrator,Canada,63942.0,Winnipeg
2023,"1,000 to 4,999 employees",Financial Services,10 or more years,"Developer, full-stack",Canada,78069.0,Kingston–Pembroke
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,63199.0,Kingston–Pembroke
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,52046.0,Montreal
2023,100 to 499 employees,Higher Education,10 or more years,Educator,Canada,74351.0,Winnipeg
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,59481.0,Winnipeg
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,60968.0,Winnipeg
2023,500 to 999 employees,Financial Services,10 or more years,Security professional,Canada,89222.0,Halifax
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, game or graphics",Canada,81787.0,Vancouver Island and Coast
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,68403.0,Halifax
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,Research & Development role,Canada,63199.0,Winnipeg
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,59481.0,Montreal
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, mobile",Canada,74351.0,Kingston–Pembroke
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, front-end",Canada,104092.0,Hamilton–Niagara Peninsula
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,71377.0,Winnipeg
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,107810.0,Hamilton–Niagara Peninsula
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",0 to 1 years,"Developer, front-end",Canada,29741.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,63199.0,Kingston–Pembroke
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,96657.0,Hamilton–Niagara Peninsula
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,57994.0,Halifax
2023,"1,000 to 4,999 employees",Financial Services,10 or more years,"Developer, desktop or enterprise applications",Canada,87735.0,Toronto
2023,10 to 19 employees,Financial Services,5 to 9 years,Data scientist or machine learning specialist,Canada,63199.0,Halifax
2023,20 to 99 employees,Oil & Gas,5 to 9 years,"Developer, embedded applications or devices",Canada,85504.0,Calgary
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,63199.0,Montreal
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,92939.0,Toronto
2023,"1,000 to 4,999 employees",Financial Services,2 to 4 years,"Developer, back-end",Canada,64686.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,89222.0,Toronto
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,87735.0,Calgary
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,Data scientist or machine learning specialist,Canada,107810.0,Kitchener–Waterloo–Barrie
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,79556.0,Toronto
2023,100 to 499 employees,Healthcare,10 or more years,"Developer, desktop or enterprise applications",Canada,96657.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,Hardware Engineer,Canada,74351.0,Vancouver Island and Coast
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,63199.0,Montreal
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,65429.0,Kingston–Pembroke
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,59555.0,Winnipeg
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,81787.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,89222.0,Toronto
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, back-end",Canada,59481.0,Hamilton–Niagara Peninsula
2023,"1,000 to 4,999 employees",Healthcare,2 to 4 years,"Engineer, data",Canada,54277.0,Halifax
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, back-end",Canada,68403.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees","Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,74351.0,Kingston–Pembroke
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",2 to 4 years,"Engineer, data",Canada,52046.0,Halifax
2023,100 to 499 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, embedded applications or devices",Canada,74351.0,Vancouver Island and Coast
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,104092.0,Hamilton–Niagara Peninsula
2023,"5,000 to 9,999 employees",Oil & Gas,5 to 9 years,"Developer, front-end",Canada,72121.0,Kitchener–Waterloo–Barrie
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,66916.0,Halifax
2023,10 to 19 employees,"Manufacturing, Transportation, or Supply Chain",0 to 1 years,"Developer, full-stack",Canada,37176.0,Kitchener–Waterloo–Barrie
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,DevOps specialist,Canada,59481.0,Winnipeg
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, embedded applications or devices",Canada,89222.0,Montreal
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,500 to 999 employees,Financial Services,2 to 4 years,Research & Development role,Canada,70039.0,Calgary
2023,2 to 9 employees,Healthcare,2 to 4 years,"Developer, embedded applications or devices",Canada,48328.0,Moncton–Richibucto
2023,100 to 499 employees,Healthcare,5 to 9 years,"Developer, back-end",Canada,64314.0,Kingston–Pembroke
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,89222.0,Calgary
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,85504.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, mobile",Canada,89222.0,Calgary
2023,"10,000 or more employees",Healthcare,10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, QA or test",Canada,81787.0,Ottawa
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,70634.0,Winnipeg
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, back-end",Canada,59481.0,Hamilton–Niagara Peninsula
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, back-end",Canada,63199.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees",Healthcare,2 to 4 years,System administrator,Canada,55764.0,Moncton–Richibucto
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,92939.0,Toronto
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,66916.0,Hamilton–Niagara Peninsula
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,"10,000 or more employees",Financial Services,5 to 9 years,"Developer, full-stack",Canada,59481.0,Winnipeg
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, game or graphics",Canada,57994.0,Regina–Moose Mountain
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,92939.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,50931.0,Vancouver Island and Coast
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, front-end",Canada,96657.0,Hamilton–Niagara Peninsula
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,74351.0,Kingston–Pembroke
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, embedded applications or devices",Canada,80300.0,Winnipeg
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,100374.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,89222.0,Toronto
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,Academic researcher,Canada,85504.0,Montreal
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,Engineering manager,Canada,65429.0,Halifax
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Senior Executive (C-Suite, VP, etc.)",Canada,89222.0,London
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,81787.0,Hamilton–Niagara Peninsula
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,55764.0,Montreal
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,81787.0,Toronto
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, full-stack",Canada,66916.0,Halifax
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,Cloud infrastructure engineer,Canada,89222.0,Vancouver Island and Coast
2023,100 to 499 employees,"Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, full-stack",Canada,63199.0,Montreal
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, back-end",Canada,70262.0,Kitchener–Waterloo–Barrie
2023,10 to 19 employees,Higher Education,5 to 9 years,"Developer, front-end",Canada,55764.0,Montreal
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,DevOps specialist,Canada,66916.0,Winnipeg
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,39035.0,Montreal
2023,20 to 99 employees,Advertising Services,5 to 9 years,"Developer, full-stack",Canada,66916.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,66916.0,Toronto
2023,100 to 499 employees,Healthcare,2 to 4 years,"Developer, full-stack",Canada,38735.0,Montreal
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, embedded applications or devices",Canada,81787.0,Calgary
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,110040.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,59481.0,Montreal
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,63942.0,Kingston–Pembroke
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,81787.0,Hamilton–Niagara Peninsula
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,Project manager,Canada,74351.0,Moncton–Richibucto
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,89222.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,73980.0,Kingston–Pembroke
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,89222.0,Calgary
2023,2 to 9 employees,Financial Services,5 to 9 years,"Developer, full-stack",Canada,81787.0,Hamilton–Niagara Peninsula
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, front-end",Canada,66916.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,Engineering manager,Canada,96657.0,London
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,59481.0,Winnipeg
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,70634.0,Kitchener–Waterloo–Barrie
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,43124.0,Montreal
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,52046.0,Calgary
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,DevOps specialist,Canada,81787.0,Saskatoon–Biggar
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,59481.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, desktop or enterprise applications",Canada,85504.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,59481.0,Montreal
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,74351.0,Kitchener–Waterloo–Barrie
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,96657.0,Hamilton–Niagara Peninsula
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,70634.0,Winnipeg
2023,20 to 99 employees,Higher Education,10 or more years,Cloud infrastructure engineer,Canada,104092.0,Vancouver Island and Coast
2023,2 to 9 employees,Financial Services,5 to 9 years,"Developer, back-end",Canada,81787.0,Hamilton–Niagara Peninsula
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,51302.0,Montreal
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,81787.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,81787.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,Engineering manager,Canada,96657.0,London
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, desktop or enterprise applications",Canada,89222.0,Calgary
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,64686.0,Montreal
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,104092.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,110040.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,68924.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, front-end",Canada,54648.0,Montreal
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, front-end",Canada,78069.0,Kingston–Pembroke
2023,"1,000 to 4,999 employees",Financial Services,5 to 9 years,"Developer, full-stack",Canada,55020.0,Montreal
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,104092.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,85504.0,Toronto
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Senior Executive (C-Suite, VP, etc.)",Canada,55764.0,London
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,DevOps specialist,Canada,74351.0,Winnipeg
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,78813.0,Hamilton–Niagara Peninsula
2023,500 to 999 employees,Retail and Consumer Services,5 to 9 years,"Developer, front-end",Canada,55764.0,Montreal
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, desktop or enterprise applications",Canada,74351.0,Kingston–Pembroke
2023,"5,000 to 9,999 employees",Healthcare,10 or more years,"Developer, back-end",Canada,84017.0,Toronto
2023,"10,000 or more employees",Financial Services,5 to 9 years,"Developer, back-end",Canada,89222.0,Calgary
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,83274.0,Toronto
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,65429.0,Kingston–Pembroke
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,69496.0,Kitchener–Waterloo–Barrie
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, front-end",Canada,65429.0,Montreal
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,100374.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,79556.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,78069.0,Kingston–Pembroke
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,63009.0,Montreal
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,57251.0,Montreal
